file1,file2,section,ssdeep,tlsh,mvhash,truth
b2sum-coreutils_8-30_O2.text,od-coreutils_8-30_O2.text,text,0,-220,,no
b2sum-coreutils_8-30_O2.data,stdbuf-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,stdbuf-coreutils_8-30_O2,full,0,-242,,no
b2sum-coreutils_8-30_O2.rodata,stdbuf-coreutils_8-30_O2.rodata,rodata,35,-640,,no
b2sum-coreutils_8-30_O2.text,stdbuf-coreutils_8-30_O2.text,text,0,-257,,no
b2sum-coreutils_8-30_O2.data,paste-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,paste-coreutils_8-30_O2,full,0,-462,,no
b2sum-coreutils_8-30_O2.rodata,paste-coreutils_8-30_O2.rodata,rodata,33,-894,,no
b2sum-coreutils_8-30_O2.text,paste-coreutils_8-30_O2.text,text,0,-508,,no
b2sum-coreutils_8-30_O2.data,echo-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,echo-coreutils_8-30_O2,full,0,-428,,no
b2sum-coreutils_8-30_O2.rodata,echo-coreutils_8-30_O2.rodata,rodata,35,-411,,no
b2sum-coreutils_8-30_O2.text,echo-coreutils_8-30_O2.text,text,0,-545,,no
b2sum-coreutils_8-30_O2.data,tsort-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,tsort-coreutils_8-30_O2,full,0,-417,,no
b2sum-coreutils_8-30_O2.rodata,tsort-coreutils_8-30_O2.rodata,rodata,35,-671,,no
b2sum-coreutils_8-30_O2.text,tsort-coreutils_8-30_O2.text,text,0,-451,,no
b2sum-coreutils_8-30_O2.data,chgrp-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,chgrp-coreutils_8-30_O2,full,0,-74,,no
b2sum-coreutils_8-30_O2.rodata,chgrp-coreutils_8-30_O2.rodata,rodata,40,-505,,no
b2sum-coreutils_8-30_O2.text,chgrp-coreutils_8-30_O2.text,text,0,-348,,no
b2sum-coreutils_8-30_O2.data,nl-coreutils_8-30_O2.data,data,21,,,no
b2sum-coreutils_8-30_O2,nl-coreutils_8-30_O2,full,0,-234,,no
b2sum-coreutils_8-30_O2.rodata,nl-coreutils_8-30_O2.rodata,rodata,40,-714,,no
b2sum-coreutils_8-30_O2.text,nl-coreutils_8-30_O2.text,text,0,-431,,no
b2sum-coreutils_8-30_O2.data,expr-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,expr-coreutils_8-30_O2,full,0,-220,,no
b2sum-coreutils_8-30_O2.rodata,expr-coreutils_8-30_O2.rodata,rodata,38,-582,,no
b2sum-coreutils_8-30_O2.text,expr-coreutils_8-30_O2.text,text,0,-225,,no
b2sum-coreutils_8-30_O2.data,head-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,head-coreutils_8-30_O2,full,0,-351,,no
b2sum-coreutils_8-30_O2.rodata,head-coreutils_8-30_O2.rodata,rodata,36,-602,,no
b2sum-coreutils_8-30_O2.text,head-coreutils_8-30_O2.text,text,0,-357,,no
b2sum-coreutils_8-30_O2.data,yes-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,yes-coreutils_8-30_O2,full,0,-402,,no
b2sum-coreutils_8-30_O2.rodata,yes-coreutils_8-30_O2.rodata,rodata,32,-591,,no
b2sum-coreutils_8-30_O2.text,yes-coreutils_8-30_O2.text,text,0,-611,,no
b2sum-coreutils_8-30_O2.data,[-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,[-coreutils_8-30_O2,full,0,-131,,no
b2sum-coreutils_8-30_O2.rodata,[-coreutils_8-30_O2.rodata,rodata,32,-791,,no
b2sum-coreutils_8-30_O2.text,[-coreutils_8-30_O2.text,text,0,-114,,no
b2sum-coreutils_8-30_O2.data,cksum-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,cksum-coreutils_8-30_O2,full,0,-477,,no
b2sum-coreutils_8-30_O2.rodata,cksum-coreutils_8-30_O2.rodata,rodata,0,-522,,no
b2sum-coreutils_8-30_O2.text,cksum-coreutils_8-30_O2.text,text,0,-565,,no
b2sum-coreutils_8-30_O2.data,base32-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,base32-coreutils_8-30_O2,full,0,-322,,no
b2sum-coreutils_8-30_O2.rodata,base32-coreutils_8-30_O2.rodata,rodata,36,-557,,no
b2sum-coreutils_8-30_O2.text,base32-coreutils_8-30_O2.text,text,0,-420,,no
b2sum-coreutils_8-30_O2.data,kill-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,kill-coreutils_8-30_O2,full,0,-248,,no
b2sum-coreutils_8-30_O2.rodata,kill-coreutils_8-30_O2.rodata,rodata,40,-580,,no
b2sum-coreutils_8-30_O2.text,kill-coreutils_8-30_O2.text,text,0,-400,,no
b2sum-coreutils_8-30_O2.data,hostid-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,hostid-coreutils_8-30_O2,full,0,-457,,no
b2sum-coreutils_8-30_O2.rodata,hostid-coreutils_8-30_O2.rodata,rodata,32,-894,,no
b2sum-coreutils_8-30_O2.text,hostid-coreutils_8-30_O2.text,text,0,-611,,no
b2sum-coreutils_8-30_O2.data,sha256sum-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,sha256sum-coreutils_8-30_O2,full,0,-225,,no
b2sum-coreutils_8-30_O2.rodata,sha256sum-coreutils_8-30_O2.rodata,rodata,68,-585,75,no
b2sum-coreutils_8-30_O2.text,sha256sum-coreutils_8-30_O2.text,text,0,-185,,no
b2sum-coreutils_8-30_O2.data,timeout-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,timeout-coreutils_8-30_O2,full,0,-240,,no
b2sum-coreutils_8-30_O2.rodata,timeout-coreutils_8-30_O2.rodata,rodata,38,-714,,no
b2sum-coreutils_8-30_O2.text,timeout-coreutils_8-30_O2.text,text,0,-411,,no
b2sum-coreutils_8-30_O2.data,comm-coreutils_8-30_O2.data,data,0,,,no
b2sum-coreutils_8-30_O2,comm-coreutils_8-30_O2,full,0,-242,,no
b2sum-coreutils_8-30_O2.rodata,comm-coreutils_8-30_O2.rodata,rodata,38,-774,,no
b2sum-coreutils_8-30_O2.text,comm-coreutils_8-30_O2.text,text,0,-451,,no
printenv-coreutils_8-30_O2.text,dirname-coreutils_8-30_O2.text,text,0,37,,no
printenv-coreutils_8-30_O2,dirname-coreutils_8-30_O2,full,32,-8,,no
printenv-coreutils_8-30_O2.rodata,dirname-coreutils_8-30_O2.rodata,rodata,69,-300,,no
printenv-coreutils_8-30_O2.data,dirname-coreutils_8-30_O2.data,data,16,,,no
printenv-coreutils_8-30_O2.text,uptime-coreutils_8-30_O2.text,text,0,-340,,no
printenv-coreutils_8-30_O2,uptime-coreutils_8-30_O2,full,0,-397,,no
printenv-coreutils_8-30_O2.rodata,uptime-coreutils_8-30_O2.rodata,rodata,63,-722,,no
printenv-coreutils_8-30_O2.data,uptime-coreutils_8-30_O2.data,data,0,,,no
printenv-coreutils_8-30_O2.text,ptx-coreutils_8-30_O2.text,text,0,-537,,no
printenv-coreutils_8-30_O2,ptx-coreutils_8-30_O2,full,0,-620,,no
printenv-coreutils_8-30_O2.rodata,ptx-coreutils_8-30_O2.rodata,rodata,0,-651,,no
printenv-coreutils_8-30_O2.data,ptx-coreutils_8-30_O2.data,data,0,,,no
printenv-coreutils_8-30_O2.text,ln-coreutils_8-30_O2.text,text,0,-442,,no
printenv-coreutils_8-30_O2,ln-coreutils_8-30_O2,full,0,-482,,no
printenv-coreutils_8-30_O2.rodata,ln-coreutils_8-30_O2.rodata,rodata,0,-1008,,no
printenv-coreutils_8-30_O2.data,ln-coreutils_8-30_O2.data,data,0,,,no
printenv-coreutils_8-30_O2.text,mknod-coreutils_8-30_O2.text,text,0,-451,,no
printenv-coreutils_8-30_O2,mknod-coreutils_8-30_O2,full,0,-577,,no
printenv-coreutils_8-30_O2.rodata,mknod-coreutils_8-30_O2.rodata,rodata,32,-537,,no
printenv-coreutils_8-30_O2.data,mknod-coreutils_8-30_O2.data,data,0,,,no
printenv-coreutils_8-30_O2.text,shuf-coreutils_8-30_O2.text,text,0,-368,,no
printenv-coreutils_8-30_O2,shuf-coreutils_8-30_O2,full,0,-551,,no
printenv-coreutils_8-30_O2.rodata,shuf-coreutils_8-30_O2.rodata,rodata,0,-608,,no
printenv-coreutils_8-30_O2.data,shuf-coreutils_8-30_O2.data,data,0,,,no
printenv-coreutils_8-30_O2.text,whoami-coreutils_8-30_O2.text,text,0,-2,,no
printenv-coreutils_8-30_O2,whoami-coreutils_8-30_O2,full,32,-31,,no
printenv-coreutils_8-30_O2.rodata,whoami-coreutils_8-30_O2.rodata,rodata,65,-528,38,no
printenv-coreutils_8-30_O2.data,whoami-coreutils_8-30_O2.data,data,16,,,no
printenv-coreutils_8-30_O2.text,make-prime-list-coreutils_8-30_O2.text,text,0,-785,,no
printenv-coreutils_8-30_O2,make-prime-list-coreutils_8-30_O2,full,0,-708,,no
printenv-coreutils_8-30_O2.rodata,make-prime-list-coreutils_8-30_O2.rodata,rodata,0,-774,,no
printenv-coreutils_8-30_O2.data,make-prime-list-coreutils_8-30_O2.data,data,0,,,no
printenv-coreutils_8-30_O2.text,fold-coreutils_8-30_O2.text,text,0,-80,,no
printenv-coreutils_8-30_O2,fold-coreutils_8-30_O2,full,36,-282,,no
printenv-coreutils_8-30_O2.rodata,fold-coreutils_8-30_O2.rodata,rodata,58,-420,,no
printenv-coreutils_8-30_O2.data,fold-coreutils_8-30_O2.data,data,0,,,no
printenv-coreutils_8-30_O2.text,readlink-coreutils_8-30_O2.text,text,0,-214,,no
printenv-coreutils_8-30_O2,readlink-coreutils_8-30_O2,full,0,-220,,no
printenv-coreutils_8-30_O2.rodata,readlink-coreutils_8-30_O2.rodata,rodata,33,-417,,no
printenv-coreutils_8-30_O2.data,readlink-coreutils_8-30_O2.data,data,0,,,no
printenv-coreutils_8-30_O2.text,dd-coreutils_8-30_O2.text,text,0,-622,,no
printenv-coreutils_8-30_O2,dd-coreutils_8-30_O2,full,0,-654,,no
printenv-coreutils_8-30_O2.rodata,dd-coreutils_8-30_O2.rodata,rodata,0,-802,,no
printenv-coreutils_8-30_O2.data,dd-coreutils_8-30_O2.data,data,0,,,no
printenv-coreutils_8-30_O2.text,chmod-coreutils_8-30_O2.text,text,0,-405,,no
printenv-coreutils_8-30_O2,chmod-coreutils_8-30_O2,full,0,-425,,no
printenv-coreutils_8-30_O2.rodata,chmod-coreutils_8-30_O2.rodata,rodata,36,-934,,no
printenv-coreutils_8-30_O2.data,chmod-coreutils_8-30_O2.data,data,0,,,no
printenv-coreutils_8-30_O2.text,true-coreutils_8-30_O2.text,text,0,22,,no
printenv-coreutils_8-30_O2,true-coreutils_8-30_O2,full,32,-60,,no
printenv-coreutils_8-30_O2.rodata,true-coreutils_8-30_O2.rodata,rodata,77,-365,,no
printenv-coreutils_8-30_O2.data,true-coreutils_8-30_O2.data,data,0,,,no
printenv-coreutils_8-30_O2.text,ls-coreutils_8-30_O2.text,text,0,-891,,no
printenv-coreutils_8-30_O2,ls-coreutils_8-30_O2,full,0,-862,,no
printenv-coreutils_8-30_O2.rodata,ls-coreutils_8-30_O2.rodata,rodata,0,-1148,,no
printenv-coreutils_8-30_O2.data,ls-coreutils_8-30_O2.data,data,0,,,no
printenv-coreutils_8-30_O2.text,sha384sum-coreutils_8-30_O2.text,text,0,-765,,no
printenv-coreutils_8-30_O2,sha384sum-coreutils_8-30_O2,full,0,-645,,no
printenv-coreutils_8-30_O2.rodata,sha384sum-coreutils_8-30_O2.rodata,rodata,40,-568,,no
printenv-coreutils_8-30_O2.data,sha384sum-coreutils_8-30_O2.data,data,0,,,no
printenv-coreutils_8-30_O2.text,test-coreutils_8-30_O2.text,text,0,-608,,no
printenv-coreutils_8-30_O2,test-coreutils_8-30_O2,full,0,-428,,no
printenv-coreutils_8-30_O2.rodata,test-coreutils_8-30_O2.rodata,rodata,0,-671,,no
printenv-coreutils_8-30_O2.data,test-coreutils_8-30_O2.data,data,0,,,no
printenv-coreutils_8-30_O2.text,mkfifo-coreutils_8-30_O2.text,text,0,-445,,no
printenv-coreutils_8-30_O2,mkfifo-coreutils_8-30_O2,full,0,-514,,no
printenv-coreutils_8-30_O2.rodata,mkfifo-coreutils_8-30_O2.rodata,rodata,58,-377,,no
printenv-coreutils_8-30_O2.data,mkfifo-coreutils_8-30_O2.data,data,0,,,no
printenv-coreutils_8-30_O2.text,chroot-coreutils_8-30_O2.text,text,0,-177,,no
printenv-coreutils_8-30_O2,chroot-coreutils_8-30_O2,full,0,-320,,no
printenv-coreutils_8-30_O2.rodata,chroot-coreutils_8-30_O2.rodata,rodata,58,-600,,no
printenv-coreutils_8-30_O2.data,chroot-coreutils_8-30_O2.data,data,0,,,no
printenv-coreutils_8-30_O2.text,vdir-coreutils_8-30_O2.text,text,0,-891,,no
printenv-coreutils_8-30_O2,vdir-coreutils_8-30_O2,full,0,-862,,no
printenv-coreutils_8-30_O2.rodata,vdir-coreutils_8-30_O2.rodata,rodata,0,-1148,,no
printenv-coreutils_8-30_O2.data,vdir-coreutils_8-30_O2.data,data,0,,,no
printenv-coreutils_8-30_O2.text,rm-coreutils_8-30_O2.text,text,0,-480,,no
printenv-coreutils_8-30_O2,rm-coreutils_8-30_O2,full,0,-528,,no
printenv-coreutils_8-30_O2.rodata,rm-coreutils_8-30_O2.rodata,rodata,0,-880,,no
